Record #:  1
Notes :
gain 6 zorye running

12/11/20259:37:55 pm
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
84.504318E-3	5.157137E-3	11.581516E-3	-370.243835E-3	-400.000000E-3	219.985771E-3	104.022169E-3	-400.000000E-3
84.505320E-3	5.160141E-3	11.580515E-3	-370.249844E-3	-400.000000E-3	219.980860E-3	104.012251E-3	-400.000000E-3
84.506321E-3	5.161858E-3	11.579466E-3	-370.233011E-3	-400.000000E-3	220.000219E-3	104.021454E-3	-400.000000E-3
84.501171E-3	5.161715E-3	11.583853E-3	-370.194530E-3	-400.000000E-3	220.039988E-3	104.053783E-3	-400.000000E-3
84.497786E-3	5.158424E-3	11.588144E-3	-370.192909E-3	-400.000000E-3	220.045948E-3	104.052210E-3	-400.000000E-3
84.494638E-3	5.163765E-3	11.602449E-3	-370.196915E-3	-400.000000E-3	220.045614E-3	104.045248E-3	-400.000000E-3
84.498596E-3	5.176353E-3	11.619997E-3	-370.234060E-3	-400.000000E-3	220.006514E-3	104.004431E-3	-400.000000E-3
84.507418E-3	5.178213E-3	11.613703E-3	-370.212221E-3	-400.000000E-3	220.022202E-3	104.022694E-3	-400.000000E-3
84.508514E-3	5.181313E-3	11.610508E-3	-370.204258E-3	-400.000000E-3	220.028019E-3	104.026937E-3	-400.000000E-3
84.508133E-3	5.173445E-3	11.621141E-3	-370.226049E-3	-400.000000E-3	220.001841E-3	103.997612E-3	-400.000000E-3
84.505129E-3	5.171919E-3	11.639118E-3	-370.229816E-3	-400.000000E-3	219.993401E-3	103.989077E-3	-400.000000E-3
84.502125E-3	5.177784E-3	11.633253E-3	-370.201349E-3	-400.000000E-3	220.016098E-3	104.009151E-3	-400.000000E-3
84.496927E-3	5.188894E-3	11.647034E-3	-370.191050E-3	-400.000000E-3	220.023060E-3	104.008245E-3	-400.000000E-3
84.493351E-3	5.195045E-3	11.651325E-3	-370.174932E-3	-400.000000E-3	220.029974E-3	104.009771E-3	-400.000000E-3
84.490013E-3	5.193138E-3	11.643124E-3	-370.130157E-3	-400.000000E-3	220.064926E-3	104.037857E-3	-400.000000E-3
84.488535E-3	5.195761E-3	11.641216E-3	-370.102978E-3	-400.000000E-3	220.083904E-3	104.056358E-3	-400.000000E-3
84.487391E-3	5.201197E-3	11.645937E-3	-370.088673E-3	-400.000000E-3	220.087624E-3	104.062271E-3	-400.000000E-3
84.483433E-3	5.203629E-3	11.657190E-3	-370.078945E-3	-400.000000E-3	220.076847E-3	104.052591E-3	-400.000000E-3
84.477472E-3	5.211973E-3	11.660290E-3	-370.063686E-3	-400.000000E-3	220.077324E-3	104.051447E-3	-400.000000E-3
84.477663E-3	5.220461E-3	11.671829E-3	-370.054150E-3	-400.000000E-3	220.078993E-3	104.043150E-3	-400.000000E-3
